timestamp,F4,C4,S1,S3,C3,F3,y
74031.74379,6826.708,6391.427,44.247,8566.667,4893.3164,5603.695,0
74031.74713,-2540.0854,-2585.951,-3184.659,-1420.6566,-3104.0298,-2759.7349,0
74031.75046,-9179.693,-8969.662,-44.24565,-8844.852,-8164.3633,-8346.418,0
74031.75379,-7235.4497,-6914.481,1065.8424,-6857.339,-6048.9956,-6399.348,0
74031.75712541159,3901.5,3611.704,2746.8079,5004.5137,3421.0496,3662.7527,0
74031.76046,6618.6943,6197.369,44.247,8391.901,4702.732,5294.9546,0
74031.76379,-2251.6902,-2257.8406,-2876.1372,-1572.7927,-2654.968,-2472.7297,0
74031.76712573219,-9573.509,-9272.296,-44.24565,-10108.378,-8471.632,-8714.15,0
74031.77045917239,-8277.415,-7953.3066,598.99133,-9250.806,-6981.3867,-7352.2173,0
74031.77379261258,3484.4075,3271.586,2583.3474,2897.6516,3095.1226,3346.5667,0
74031.77713,6118.321,5621.1953,44.247,6036.915,4142.947,4974.536,0
74031.78045949299,-1725.4889,-1784.2477,-1589.6208,-2972.8977,-2154.9304,-1800.438,0
74031.78379293319,-9808.237,-9428.562,-44.24565,-11918.684,-8462.955,-8761.165,0
74031.78712637338,-8134.9956,-7703.829,325.68335,-10281.031,-6623.1035,-7095.487,0
74031.79046,2196.8533,2081.2966,1467.0132,867.50116,1931.1241,2082.9087,0
74031.79379325379,6056.187,5595.401,44.247,5846.8613,4199.793,4875.116,0
74031.79712669399,-3262.9375,-3350.039,-3572.0833,-3840.3188,-3657.407,-3481.7854,0
74031.80046013418,-9680.067,-9448.957,-44.24565,-10420.737,-8631.698,-8915.984,0
74031.80379357438,-8265.803,-8049.654,240.80135,-8400.627,-7144.205,-7524.445,0
74031.80712701459,2187.7148,1844.3951,815.7728,3424.792,1490.9735,1775.1647,0
74031.81046045478,6581.474,5984.1157,44.247,9103.253,4444.2314,5176.3696,0
74031.81379389498,-2603.4336,-2631.7754,-3289.0732,-889.6431,-3078.8755,-2958.045,0
74031.81712733518,-9276.347,-8969.662,-44.24565,-8280.985,-8150.3013,-8482.371,0
74031.82046077539,-7371.9575,-7121.6504,1089.9224,-6689.6694,-6149.3784,-6594.171,0
74031.82379421558,3357.4954,3135.8923,2319.236,4532.7227,2915.1245,3093.6006,0
74031.82712765578,6262.6997,5683.2817,44.247,7738.7046,4316.7764,5008.075,0
74031.83046109597,-2153.8,-2198.7065,-2176.6953,-1977.4269,-2542.0935,-2338.5054,0
74031.83379453617,-9675.265,-9371.574,-44.24565,-10813.135,-8409.101,-8749.786,0
74031.83712797638,-7421.201,-7240.58,1300.0204,-9140.922,-6255.2256,-6539.7905,0
74031.84046141658,4199.188,3804.6628,3545.4658,2826.5352,3693.4592,3969.888,0
74031.84379485677,5979.3447,5471.528,44.247,5453.2646,4212.0596,4839.7803,0
74031.84712829697,-2453.6929,-2407.3635,-2129.4685,-3859.7046,-2560.51,-2469.0327,0
74031.85046173718,-9546.194,-9134.626,-44.24565,-11528.384,-7987.841,-8483.868,0
74031.85379517738,-8051.345,-7716.517,723.60535,-9869.619,-6557.283,-7057.2124,0
74031.85712861757,3478.8975,3265.3682,2849.378,2850.8877,3242.0413,3373.9639,0
74031.86046205777,6311.0264,5879.4385,44.247,7062.725,4593.5273,5142.8306,0
74031.86379549796,-2383.406,-2342.5984,-2102.3071,-1891.7913,-2626.278,-2547.356,0
74031.86712893817,-9551.597,-9277.095,-44.24565,-9200.977,-8417.777,-8721.637,0
